Trader,Position,FutPx,Sett
  Total:,-6139,,
    CL,1485,5471,5471
      F17,426,5084,5084
      G17,1188,5188,5188
      H17,-1110,5282,5282
      J17,536,5349,5349
      K17,98,5396,5396
      M17,622,5425,5425
      N17,-30,5441,5441
      Q17,-24,5451,5451
      U17,-145,5458,5458
      Z17,-76,5471,5471
    CS,-4827,5471,5471
      Z16,-572,5124,5124
      F17,-441,5221,5221
      G17,-311,5300,5300
      H17,-311,5365,5365
      J17,-380,5405,5405
      K17,-380,5429,5429
      M17,-380,5445,5445
      N17,-417,5453,5453
      Q17,-417,5459,5459
      U17,-417,5463,5463
      V17,-267,5468,5468
      X17,-267,5471,5471
      Z17,-267,5469,5469
    WBS,-2352,5471,5471
      F17,-452,5084,5084
      G17,-620,5188,5188
      H17,-646,5282,5282
      J17,-178,5349,5349
      K17,-93,5396,5396
      M17,-435,5425,5425
      N17,-9,5441,5441
      Q17,-62,5451,5451
      U17,435,5458,5458
      Z17,-292,5471,5471
    WSP,-445,5445,5385
      Z16,17,5124,5046
      F17,-85,5221,5130
      G17,-85,5300,5217
      H17,-85,5365,5290
      J17,-69,5405,5336
      K17,-69,5429,5365
      M17,-69,5445,5385
