day,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
1,-0.0456392,-0.0307246,0.278868,-0.0150934,0.0151394,0.026738,-0.0365929,-0.0470779,-0.0200771,-0.0185289,0.0145374,-0.0492416,0.020776,0.00127011,-0.00878419,-0.0153787,0.0182222,0.00267445,0.00205508,0.00290179,0.00412967,-0.0173568,-0.000879507,-0.00722892,-0.0138754,0.0307223,-0.00124069,0.00065775,0.00206356,-0.00264842,-0.0138693,0.00465116,0.00202922,0.00359636,-0.0468225,-0.0262159,0.00491787,-0.01708,0.00690352,0.0203691,
2,0.0285428,0.00747608,0.0206995,-0.0161039,0.000588697,0.0247917,-0.00300429,-0.0036201,-0.0171772,-0.000190694,0.00994606,-0.0164162,0.00784698,-0.0124736,-0.00322256,-0.0329949,-0.000218245,-0.00121242,0.000820345,-0.00289339,0.000822538,-0.00297936,-0.0110035,-0.00242718,0.00617132,-0.0665219,0.00223602,-0.00657318,0.00638386,-0.00154902,-0.00856095,0.00378788,-0.00162009,0.0056914,0.0411526,-0.00974749,-0.00195752,-0.00442743,0.000802676,0.0133627,
3,-0.0270204,-0.00845948,0.00314685,-0.0427666,0.00568739,0.00386257,-0.0213087,-0.0666809,0.0576964,-0.00457753,0.000500751,0.0103432,0.00389294,0.012417,-0.0191958,0.00646073,0.0185549,-0.000485555,-0.00409836,0.0174107,0.00205465,0.00192102,-0.00445038,-0.0014193,-0.00907753,-0.01882,0.00322261,0.00264667,-0.00266012,0.00177305,0.00493421,-0.000419287,-0.00020284,0.00398239,-0.011924,-0.00735915,-0.00310549,-0.0158826,0.00979147,-0.00470371,
4,-0.0580435,-0.0145188,0.00470547,-0.00910094,-0.0154056,-0.0139733,-0.0338685,-0.0654912,-0.0388214,0.00574823,-0.0121788,-0.0353653,-0.0128454,-0.0076126,0.0103008,-0.0100301,-0.00942992,0.00728686,0.00226337,0.000877578,-0.000820176,-0.00149127,-0.00424676,-0.00913706,-0.00866551,0.00387931,0.000988386,0.00615926,-0.0100533,-0.00154867,-0.00286416,-0.00461409,-0.00466626,0.00563674,-0.0467819,-0.00467488,0.00226259,-0.00947948,-0.0130059,-0.00222159,
5,-0.00371846,-0.0423755,-0.00537728,-0.0102978,-0.0425827,-0.00842062,-0.0298202,0.071061,-0.00869925,-0.00876357,0.0244891,0.0115774,0.0336361,0.00575325,-0.0136623,-0.0184397,0.00692341,-0.00409935,0.00266886,-0.00701447,0.0049251,0.0053339,0.000224467,0.00696721,-0.0154845,0.0068699,-0.000740558,-0.00655881,-0.00352332,-0.00221582,-0.0252359,-0.000210704,0.00428047,0.00435956,-0.0159425,-0.0250973,-0.0138066,-0.00655164,-0.0176368,-0.00384584,
6,-0.00933085,0.0122125,0.0204046,0.00646794,0.0221349,0.00186413,-0.0457532,-0.03752,0.0451316,-0.0155679,-0.0209364,0.0140677,-0.00807601,0.0114407,-0.00599545,0.0218827,-0.00837989,-0.00338983,-0.00348075,-0.019426,-0.00633041,0.000212224,0.000448833,-0.00997151,-0.000253678,-0.0104478,0.00543478,0.00880282,0.00977537,-0.000666223,-0.0479899,-0.00421496,0.000811853,-0.00268706,-0.0161213,0.0141613,0.000995256,0.0106346,-0.00590484,0.00247897,
7,-0.0107643,-0.0451269,-0.0182875,0.027382,-0.0331917,-0.0119909,-0.00319646,0.0344664,0.0873651,-0.00390472,0.0321603,-0.0427933,0.00287356,-0.00712191,0.00582363,0.00363636,-0.019935,-0.01069,-0.0108897,-0.0234129,0.00143855,-0.00466794,0.0013459,0.0065776,0.00253743,-0.0228399,-0.0012285,0.0047993,-0.000823893,0.00288889,0.0342693,-0.0112169,-0.000811194,0.0120207,-0.0111389,-0.0180422,0.00129255,0.0135975,-0.0056309,-0.00377007,
8,-0.031012,-0.0162455,0.00104457,-0.0239326,0.0496127,0.0171584,-0.0165269,0.102482,-0.0393455,0.00686005,0.00114192,0.0073692,-0.000716332,0.0128692,-0.00496278,-0.0189211,0.00331638,0.00171906,0.000207727,0.00783771,0.00554073,-3.71E-18,0.0094086,0.00837247,0.0113895,0.0235943,0.00295203,-0.00130265,-0.00412286,0.00819854,0.010047,-0.00321062,-0.00121778,-0.000204792,-0.0648927,0.00732995,-0.0136039,-0.00778617,0.011291,0.00313327,
9,0.0193711,-0.0356964,-0.0156522,0.0234048,-0.10351,-0.00678873,-0.00902935,-0.0354314,-0.018756,0.0221919,-0.0084732,0.0197513,0.0284349,0.00895647,0.0230673,-0.0153878,0.00771265,0.0122579,0.00124611,0.0171546,0.0022449,0.00170539,-0.0124279,-0.00830296,0.00225225,0.00280052,-0.00294334,0.00804348,-0.0180087,0.0131868,0.00253968,-0.00257677,0.00142248,-2.42E-16,-0.015625,-0.0220239,-0.00147646,0.0125692,-0.0337681,0.00109525,
10,0.0286422,-0.0328663,0.0155477,0.0127961,-0.0240267,0.00704225,0.0298659,-0.0382455,-0.0124829,0.0175205,-0.0141331,0.0566714,0.00325279,0.0342692,-0.000203128,0.0183372,0.0137765,0.00629692,-0.000829703,0.0285586,0.00814498,-0.00553309,9.23E-19,0.000408413,-0.00724095,0.0107411,0.0110701,-0.000431313,-0.0170742,0.00563991,-0.00211104,0.00753498,-0.00344968,-0.00696436,0.0168485,-0.00709325,0.0048728,-0.008186,-0.00261493,0.00632116,
11,-0.048996,0.000357718,-0.00452331,0.0196237,-0.00775017,-0.0189223,0.0484148,-0.0204448,-0.00276516,-0.0228336,-0.032172,-0.000226296,-0.00671607,-5.15E-17,0.00284437,0.0182116,0.0101381,0.0199759,3.78E-18,-0.000655881,0.00323167,0.000641986,-0.00247191,0.00102062,-0.00779678,0.0172157,0.0272506,0.00798274,-0.0143684,-0.00560828,-0.0179818,-0.000213675,-0.0109957,0.00556931,-0.0300863,-0.0208323,-0.00912982,0.0135981,-0.00779451,-0.00289913,
12,-0.0160473,0.00965493,0.0101363,0.0416557,0.00804043,0.0067086,-0.000234412,-0.0811927,0.0148544,0.0180042,-0.012401,0.0475328,0.0107251,0.00678643,0.0089141,-0.00864148,-0.00192184,-0.0318546,0.000415196,0.00984467,-0.0110731,0.00320787,-0.00540662,0.00754486,-0.00152091,-0.0194317,0.0026054,-0.00877568,-0.00261097,-0.00520607,0.00236967,-0.00876256,-0.00391188,9.47E-17,-0.00620392,0.0247449,0.0159303,0.0130486,-0.00717729,-0.00104995,
13,-0.00629471,-0.0417921,0.016782,0.0156922,0.0761167,0.0164515,0.0166471,-0.0958562,-0.00351288,0.0107244,0.0111615,-0.0138289,0.0083045,0.00237906,-0.0104418,-0.072167,-0.00427899,-0.00194979,0.00684789,0.00888215,-0.00305375,0.00149222,-0.00520951,0.00323821,-0.00660066,-0.0115065,-0.0264588,0.0306629,-0.0056719,0.0043611,-0.00988609,-0.00107805,0.00785449,-0.00102564,0.00162852,-0.0347523,0.0068104,0.00721439,0.0248166,0.00638719,
14,0.000287936,0.0445389,0.00935852,-0.0366309,0.0307073,0.0206925,-0.0205258,-0.0648813,0.0440658,-0.0197319,0.0100034,0.00262927,-0.0157859,-0.00514241,0.00689935,0.00458816,-0.00601633,-0.0034188,-0.00267931,-0.0319948,-0.000204207,0.000851426,0.010929,-5.01E-19,-0.0155891,-0.0101315,0.00752245,-0.0299602,-0.00921457,0.00325662,-0.00651183,0.00366933,0.00246103,-0.000410678,-0.00605185,0.0121215,0.0156735,-0.01148,0.0208114,0.0108054,
15,0.0402994,-0.022293,-0.00691167,-0.00129333,0.01767,0.0132477,0.0454438,0.178329,0.0153817,-0.00474744,-0.00478142,-0.0332168,-0.0267318,0.028827,0.0332527,0.00434972,-0.0164289,0.00759618,-0.00144658,-0.00643301,0.00367647,0.00148873,-1.70E-18,0.00524511,0.00674974,0.0283101,-0.0055395,0.00410367,0.0321081,-9.54E-18,-0.00436967,0.00623656,0.00409165,0.00143796,-0.0116321,-0.00550403,-0.00584776,-0.00668343,-0.000378176,0.00480846,
16,0.0376314,0.0336591,0.00526226,0.0613831,0.00302847,0.0204041,0.0511261,-0.0233024,0.0339922,-0.0249952,0.00257378,-0.00135624,0.00191068,0.00425121,-0.0072167,0.00996102,0.00813187,0.005107,0.000206954,0.00692119,0.0026455,0.00552134,0.00788288,0.00140478,0.00489943,-0.00444727,0.0150157,0.0025812,0.000643639,0.0151482,0.0142638,-0.00961744,0.00733496,0.00184615,0.0290548,0.0201394,0.00594752,0.0163547,-0.00581235,0.00486454,
17,0.016,-0.022409,0.00557244,-0.00268424,0.0334138,-0.00990099,0.0295693,-0.0931247,0.0116134,-0.0148728,-0.00462091,-0.0647352,0.0216925,0.0100058,-0.00962672,-0.00364494,0.0100283,-0.00241955,0.000413822,-0.00399113,0.00466816,0.0061246,-0.00670391,0.00200401,-0.0120606,0.0119124,-0.00310188,0.00729457,-0.0025729,0.00767427,0.0144959,0.00151057,0.00829288,-0.00266175,-0.016351,-0.0337067,0.0053601,0.00688231,0.00484312,0.00228275,
18,-0.0338583,0.00143266,0.0129303,-0.00171275,-0.0385664,0.00960784,0.0149844,0.066761,-0.0109502,0.00377433,0.028542,0.0108906,-0.0107326,0.00438179,-0.0113073,-0.0133419,0.0105763,0.00557846,-0.00310238,0.00667854,-0.00282828,0.00314861,-0.00742407,-0.005,0.00675325,0.0182888,-0.00670177,0.000425985,-0.00214961,0.00803893,-0.0049051,-0.0105581,0.00260782,0.00143708,-0.00953765,0.00166355,0.00946749,-0.00895095,0.00130822,-0.0117804,
19,0.0287965,-0.0212804,-0.0170756,0.025,0.0058752,-0.00718586,0.00205044,0.061257,-0.000357143,0.0102909,0.00835841,0.044769,0.00919811,-0.025607,0.0234751,0.0207197,-0.00747544,0.0062711,-0.0120332,0.00331712,0.00384927,-0.00146474,-0.000226655,-0.0040201,-0.00283798,-0.040256,0.00771084,-0.00425804,0.0109866,9.01E-17,-0.00771539,-0.00174216,-0.00640256,-0.000820008,0.0358584,-0.00980901,-0.0150123,9.85E-05,-0.00519168,0.00305968,
20,-0.0335358,-0.0204641,-0.0146736,0.0310856,-0.0165156,-0.0250391,0.00838961,-0.0247376,0.0650232,1.56E-16,0.0119363,-0.0043538,-0.00630989,-0.00330932,-0.0125466,0.00876068,-0.0187218,0.00071908,-0.000419992,0.0121225,0.00524723,0.000838223,0.0074813,0.000807265,0.0121604,-0.0217251,0.0255858,0.0100492,-0.000852333,0.00608604,-0.0159827,-0.0143979,-0.00120822,-0.00225687,-0.0446215,-0.0308192,5.87E-18,-0.00351384,0.0083293,-0.00110922,
21,0.0120219,0.00951315,0.00479288,-0.00463822,0.0845792,0.0308989,0.00162338,0.142711,-0.00738007,-0.053477,0.0344037,-0.0306099,0.0296331,0.0126953,0.0248164,0.0167337,-0.00109649,0.00718563,0.000840336,-0.00500871,0.0016061,-0.00670017,-0.00765077,-0.00322646,0.00945808,-0.0127529,0.0184192,0.00254022,-0.00405204,0.00396329,0.00899912,0.0084108,-0.00403226,-0.000411269,0.0200167,0.0106538,-0.00292474,0.0039217,0.00599829,-0.0143169,
22,-0.0075594,-0.0157058,-0.0555366,0.00396086,0.00490937,0.00330868,0.0435575,0.0390135,-0.02146,-0.0564983,0.00443459,0.0424976,-0.00182732,0.0237223,-0.00271213,0.00291667,-0.0140505,0.00689655,-0.00440806,-0.00218866,0.000400882,0.00084317,0.0102041,-0.00748533,-0.00658395,0.0612472,-0.00618132,-0.00591216,0.0211991,-0.00373987,0.013052,-0.00175593,0.00202429,-0.00226291,0.0233488,-0.0118793,-0.0265628,-0.00695926,0.000851789,0.023457,
23,-0.0214908,0.0242163,-0.0266955,0.00232072,-0.0264938,-0.0420951,0.00504756,0.0533017,-0.0486963,0.0157929,-0.00993377,-0.0118424,-0.00183066,-0.0184627,-0.00446775,-0.00394682,-0.00289468,-0.00826641,-0.0113852,0.017109,0.00701262,0.00505476,-0.00112233,-0.000815328,-0.000509814,-0.0100735,-0.00760194,0.00722175,0.003355,0.00563087,-0.00794503,-0.00109938,-0.0040404,-0.00164948,-0.000976563,0.0128886,-0.0158369,-0.0024462,0.0342809,0.00357747,
24,-0.0556019,-0.0342742,-0.00982209,-0.00092614,-0.00482532,0.018631,0.0272359,-0.00471215,0.0225086,-0.00475059,0.0226151,0.0500115,0.00825309,-0.0195777,-0.020878,-0.0131387,-0.0125056,0.0192903,0.00042653,-0.00301919,-0.00616793,-0.00104778,0.0188764,0.00224398,-0.0132619,0.00190799,-0.0338904,0.00274146,-0.000626959,0.000622148,-0.00584416,0.00726392,-0.00243408,-0.00454358,-0.0396339,-0.039938,-0.000204123,0.00477185,0.0170167,-0.0181369,
25,-0.0206064,-0.0502942,0.00449186,-0.00115875,-0.00484872,-0.038171,-0.00977811,-0.122478,-0.0117167,-0.00976351,-0.0110575,-0.00285338,0.00750341,-0.0101801,0.00398565,0.00676247,0.0101764,0.0067757,-0.00191857,0.00843608,-0.00560561,-0.00566394,0.00132333,-0.00223896,-0.0211941,0.00952179,0.0108121,0.00357518,-0.00899205,0.00663212,-0.000653168,0.000218531,0.00589671,-0.00165975,-0.0139724,-0.0258952,0.00697564,0.00870684,-0.0165378,0.014243,
