Trader,,F17C,F17P,G17C,G17P,H17C,H17P,J17C,J17P,K17C,K17P,M17C,M17P,N17C,N17P,Q17C,Q17P,U17C,U17P,Z17C,Z17P,,F17T,G17T,H17T,J17T,K17T,M17T,N17T,Q17T,U17T,Z17T,,Calls,Puts,,Total
  CL, ,-5098,2396,17,1733,499,-2316,-760,921,-275,130,-1776,-738,50,-5,-150,150,130,-349,617,246, ,-2702,1750,-1817,161,-145,-2514,45,0,-219,863, ,-6746,2168, ,-4578
2500, ,0,0,0,25,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,25,-1,0,0,0,0,0,0,0, ,0,24, ,24
2600, ,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0, ,0,0,0,0,0,50,0,0,0,0, ,0,50, ,50
2800, ,0,110,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,25, ,110,0,-1,0,0,0,0,0,0,25, ,0,134, ,134
2900, ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,-2,0,0,0,0,0,0,0, ,0,-2, ,-2
2950, ,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,-1,0,0,0,0,0,0,0, ,0,-1, ,-1
3000, ,0,-363,0,-450,0,-667,0,0,0,0,0,320,0,0,0,0,0,0,0,0, ,-363,-450,-667,0,0,320,0,0,0,0, ,0,-1160, ,-1160
3050, ,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0, ,0,0,0,0,0,150,0,0,0,0, ,0,150, ,150
3100, ,0,192,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,192,0,-1,0,0,0,0,0,0,0, ,0,191, ,191
3150, ,0,1025,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1025,-84,0,0,0,0,0,0,0,0, ,0,941, ,941
3200, ,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0, ,0,0,0,0,0,-100,0,0,0,0, ,0,-100, ,-100
3300, ,0,-25,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-25,-24,0,0,0,0,0,0,0,0, ,0,-49, ,-49
3350, ,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,-25,0,0,0,0,0,0,0, ,0,-25, ,-25
3400, ,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114, ,-5,0,0,0,0,0,0,0,0,114, ,0,109, ,109
3450, ,0,-5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-5,-2,0,0,0,0,0,0,0,0, ,0,-7, ,-7
3500, ,0,-759,0,126,0,440,0,84,0,0,0,300,0,0,0,0,0,0,0,-283, ,-759,126,440,84,0,300,0,0,0,-283, ,0,-92, ,-92
3550, ,0,170,0,-12,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,170,-12,-50,0,0,0,0,0,0,0, ,0,108, ,108
3600, ,0,535,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0, ,535,50,0,0,0,50,0,0,0,0, ,0,635, ,635
3650, ,0,1,0,0,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-52, ,1,0,-21,0,0,0,0,0,0,-52, ,0,-72, ,-72
3700, ,1,190,0,-150,0,-114,0,-1,0,0,0,0,0,0,0,0,0,-100,0,0, ,191,-150,-114,-1,0,0,0,0,-100,0, ,1,-175, ,-174
3750, ,0,36,0,8,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,36,8,94,0,0,0,0,0,0,0, ,0,138, ,138
3800, ,0,298,0,-71,0,155,0,0,0,0,0,0,0,0,0,0,0,-101,0,-13, ,298,-71,155,0,0,0,0,0,-101,-13, ,0,268, ,268
3850, ,0,-32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-32,10,0,0,0,0,0,0,0,0, ,0,-22, ,-22
3900, ,0,752,0,-1,0,18,0,0,0,0,0,-135,0,-100,0,0,0,0,0,-5, ,752,-1,18,0,0,-135,-100,0,0,-5, ,0,529, ,529
3950, ,0,-184,0,-100,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,-184,-100,-2,0,0,0,0,0,0,0, ,0,-286, ,-286
4000, ,-22,454,100,1507,0,-1800,0,0,0,0,150,-1916,0,20,0,0,0,699,-207,32, ,432,1607,-1800,0,0,-1766,20,0,699,-175, ,21,-1004, ,-983
4050, ,0,-35,0,33,0,0,0,0,0,0,0,-300,0,0,0,0,0,0,0,0, ,-35,33,0,0,0,-300,0,0,0,0, ,0,-302, ,-302
4100, ,12,-562,0,2,0,87,0,0,0,0,0,50,0,0,0,0,0,0,0,0, ,-550,2,87,0,0,50,0,0,0,0, ,12,-423, ,-411
