Opt,Cntr,Stk,Call,Put,CallAtFutSett,PutAtFutSett,Vol,VolAtFutSett,SettDate,CSett,PSett,Expiration,RegressionVol,CSettVol,PSettVol,FutPx,IntRate,BSCDlta,BSPDlta,DTE,DaysInYear,DividendYield,ValueDate,FutSett,FutSettDate
CL,F17,1000,4084.0,0.0,4084.0,0.0,112.29,120.92,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1050,4034.0,0.0,4034.0,0.0,111.18,119.70,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1100,3984.0,0.0,3984.0,0.0,110.08,118.49,12/8/2016,0.0,1.0,12/15/2016,, ,-1.00,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1150,3934.0,0.0,3934.0,0.0,108.97,117.28,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1200,3884.0,0.0,3884.0,0.0,107.86,116.07,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1250,3834.0,0.0,3834.0,0.0,106.76,114.86,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1300,3784.0,0.0,3784.0,0.0,105.65,113.64,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1350,3734.0,0.0,3734.0,0.0,104.54,112.43,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1400,3684.0,0.0,3684.0,0.0,103.44,111.22,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
CL,F17,1450,3634.0,0.0,3634.0,0.0,102.33,110.01,-, , ,12/15/2016,, , ,5084,0.500%,99.99,0.00,6,252,0.000%,12/8/2016,5084,12/8/2016
