Cov,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
CLF17,0.000930961,-0.00010216,-5.76384e-05,-1.44899e-05,-3.6324e-05,-3.51458e-06,-0.000300331,0.000186345,0.000190478,4.52714e-05,2.96183e-05,-6.53625e-05,5.49989e-06,2.20831e-05,2.77233e-05,2.80151e-05,4.56019e-06,-4.92036e-06,3.45474e-05,2.53381e-05,1.08188e-05,1.88503e-05,1.4442e-06,6.21943e-06,-1.92679e-05,-6.57564e-05,-4.44554e-05,4.72779e-05,1.18523e-05,3.2199e-05,-2.22287e-06,1.50856e-05,2.80208e-05,-4.4963e-06,0.000714407,-3.13569e-05,8.22488e-06,1.90884e-05,-2.3379e-05,-1.11222e-05,0
CLG17,-0.00010216,0.000818021,-7.85731e-05,0.000114853,0.000216346,3.04709e-06,0.000352314,-4.8167e-07,0.00114284,6.50968e-06,1.44068e-05,-2.82613e-05,-6.75325e-05,-5.74233e-05,-8.48944e-07,5.97536e-05,-5.81857e-05,-3.4337e-05,-1.43505e-06,-1.94677e-05,-3.07926e-05,-1.48477e-05,1.70296e-06,2.52562e-05,2.79463e-05,3.10438e-05,-7.53029e-05,-5.43748e-05,7.24808e-06,3.29517e-05,6.99536e-05,5.75168e-05,4.98582e-05,4.9907e-05,-7.37282e-05,0.000521483,-3.42816e-05,7.27431e-06,-5.53312e-06,1.65625e-05,0
CLH17,-5.76384e-05,-7.85731e-05,0.00140153,0.000127755,0.000435668,0.000138818,-0.000279238,-0.000835417,0.00014732,-8.93528e-05,3.6545e-05,2.55725e-05,-8.85819e-05,-6.74476e-05,8.42888e-05,7.38627e-05,-0.000125952,-8.58636e-05,7.97216e-05,-4.76384e-05,-6.77691e-05,9.29263e-07,-5.0425e-05,3.89037e-05,-8.69497e-05,-3.28584e-05,3.7777e-05,4.03998e-05,2.0059e-05,8.00554e-06,-1.89633e-05,1.38676e-05,3.93588e-05,3.95665e-05,-4.06602e-05,-7.49799e-05,0.000750361,0.00080483,2.38882e-05,-1.05399e-06,0
CLJ17,-1.44899e-05,0.000114853,0.000127755,0.0188542,0.0032617,0.0016393,0.00721361,-0.00228455,0.00434609,-0.000774387,-0.000770473,0.000176268,0.000333974,-6.86124e-05,-0.000280604,0.00159454,-0.000472365,-0.000487802,4.80573e-05,-0.000222651,-0.000173007,-0.000243011,-7.37494e-06,0.0001153,0.000762662,-6.64554e-05,0.00103679,-0.000955497,-1.3648e-05,1.60864e-05,1.55735e-05,-9.46956e-05,-2.51489e-05,-2.90945e-05,-2.7042e-05,3.87778e-05,6.20492e-05,0.000104256,-2.70967e-05,0.000175239,0
CLK17,-3.6324e-05,0.000216346,0.000435668,0.0032617,0.0220754,-0.00456582,0.0172442,-0.00285486,0.0751383,-0.00585874,0.00307101,-0.00587977,-0.00416355,-0.000813771,-0.00032572,0.00186274,-0.00519075,-0.00353791,8.84005e-05,0.000291504,0.000746915,-0.000389732,6.99886e-05,0.0012681,-0.000205355,0.000158463,-0.00681016,-0.0014239,0.00296995,0.00292842,0.00370656,0.00378768,0.00505206,0.00525151,-1.67424e-05,0.000143037,0.000228786,0.000262585,-1.44059e-05,0.000122645,0
CLM17,-3.51458e-06,3.04709e-06,0.000138818,0.0016393,-0.00456582,0.00286613,-0.00357928,0.000246558,-0.0187442,0.00132429,-0.000823266,0.00157865,0.0010223,0.000164989,9.63002e-05,-0.000265203,0.001266,0.000835807,-2.49227e-05,-0.000160369,-0.000236666,7.51616e-05,-6.81492e-05,-0.000285609,0.000123246,-5.11227e-05,0.00186075,0.000236174,-0.000736161,-0.000752513,-0.000968387,-0.000918035,-0.00125826,-0.00132578,-5.32536e-06,1.89443e-05,0.000132318,0.000174203,4.59637e-05,4.31053e-05,0
CLN17,-0.000300331,0.000352314,-0.000279238,0.00721361,0.0172442,-0.00357928,0.0264216,-0.00272969,0.0665005,-0.00523662,0.0026312,-0.00530587,-0.00373949,-0.000601193,-0.000715236,0.00269804,-0.0047656,-0.00333675,8.96506e-06,0.000282209,0.000725194,-0.000572145,0.000287416,0.00117691,0.000263387,0.000725969,-0.0048088,-0.00254136,0.00235019,0.00235493,0.00300198,0.00293319,0.00411935,0.00428952,-0.000222841,0.000276142,-0.000296931,-0.000428432,-2.98209e-05,0.000277797,0
CLQ17,0.000186345,-4.8167e-07,-0.000835417,-0.00228455,-0.00285486,0.000246558,-0.00272969,0.00345987,-0.0102464,0.000880693,-0.000264742,0.000537605,0.000530611,0.000133394,2.06099e-05,-0.000486403,0.000697779,0.000610082,-6.04562e-05,8.34413e-05,8.00303e-05,6.82659e-05,6.24296e-05,-0.000292939,3.48397e-05,-5.95753e-05,0.000614049,0.000200182,-0.000342937,-0.000369187,-0.000440529,-0.000410333,-0.000600035,-0.000629549,0.000112183,-1.0607e-06,-0.00067837,-0.00086669,-2.99787e-05,-8.79353e-05,0
CLU17,0.000190478,0.00114284,0.00014732,0.00434609,0.0751383,-0.0187442,0.0665005,-0.0102464,0.34687,-0.0213962,0.0116912,-0.0226287,-0.0158711,-0.00376388,-0.000517425,0.00899486,-0.0222307,-0.0143712,0.000695653,0.00138954,0.00327722,-0.00172053,0.00127702,0.0050948,-0.000785739,0.00172479,-0.0255024,-0.0056616,0.011119,0.0122096,0.0157795,0.0159493,0.019026,0.019861,0.000334617,0.000850592,-0.000162274,-0.000426965,-0.000838023,0.000817265,0
CLZ17,4.52714e-05,6.50968e-06,-8.93528e-05,-0.000774387,-0.00585874,0.00132429,-0.00523662,0.000880693,-0.0213962,0.00218449,-0.000884146,0.00168701,0.00117773,0.000197533,0.000134211,-0.000594041,0.00147582,0.00102463,-2.44905e-05,-5.68698e-05,-0.000216816,0.000115542,-2.21138e-05,-0.000358144,5.91774e-05,-0.000157201,0.00193908,0.000453289,-0.000841878,-0.000833203,-0.0011006,-0.00104771,-0.00144206,-0.00150588,4.17404e-05,-6.42112e-07,-5.63541e-05,-9.2339e-05,1.21353e-05,-5.72102e-05,0
