date,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
time,-0.00158888,-0.0337112,0.0339159,-0.194249,-0.0178354,0.0327641,-0.272113,-0.0323975,-0.226387,-0.024645,0.0230411,-0.0137692,0.0187803,-0.00665798,0.0187843,-0.024043,0.0395997,0.00873373,0.00573072,0.00477217,0.00615597,0.00832699,-0.0147828,-0.00143435,-0.0114649,0.0205776,0.00249635,0.0192407,-0.0134003,0.00419678,0.0177278,0.0316124,0.0092574,0.0056509,-0.0213957,-0.0179268,-0.00759937,-0.00955462,0.00834324,0.00800091,0
time,-0.00717724,0.0232545,-0.0600063,0.0217231,0.137306,-0.0194614,0.161041,-0.0447985,0.646144,-0.0298208,0.00425696,-0.0158705,-0.0249467,-0.0207308,0.00201293,0.0341397,-0.0435214,-0.0299899,0.00641196,0.0117284,0.00646686,0.004202,0.00601903,0.014772,0.00170105,0.0114436,-0.0602321,-0.0109468,0.0163348,0.0147691,0.0347521,0.0218355,0.0332401,0.0338085,-0.0112934,-0.0228361,-0.0156508,-0.00188974,0.00243531,-0.00535095,0
time,-0.0451744,-0.0321217,0.0916797,0.221469,-0.187694,0.110922,-0.180243,0.00305858,-1.22627,0.0567885,-0.03738,0.0733714,0.057409,-0.017317,0.00363312,0.0157235,0.0364395,0.0382264,0.0129004,-0.0172971,-0.0260697,0.00704156,-0.0173915,-0.022045,0.0113623,-0.0371377,0.144764,-0.00772757,-0.0408038,-0.0507876,-0.0947572,-0.0742622,-0.0662752,-0.0701858,-0.026775,-0.0562536,0.0660629,0.103955,0.0111898,-0.0110422,0
time,-0.00877722,0.0084457,0.0669744,0.17293,0.0661202,0.031606,0.16333,-0.102384,-0.0819884,-0.0258174,0.0163279,-0.0414671,0.0169249,-0.0318562,-0.00575897,0.025184,0.00373613,-0.0245475,0.00928476,0.00766927,0.00504319,-0.00233375,-0.000228188,0.00425481,0.00152468,0.0247129,0.0130323,-0.0144185,0.00416842,-0.00416274,-0.00359678,-0.000357274,0.014667,0.0123698,0.00774784,0.0060851,0.0416756,0.0175005,0.00276548,0.0106789,0
time,-0.000710064,-0.010439,0.00298945,0.097203,-0.071194,-0.0157058,-0.0299987,-0.0759775,-0.316823,-0.000780923,-0.00323742,0.0246517,0.0406051,0.0164226,0.00368707,0.0072008,0.0374606,0.0109275,-0.0147314,-0.0205718,-0.0194898,0.00753987,0.00497341,0.00286584,-0.00339863,0.0120668,0.0368872,0.00119471,-0.0155852,-0.0115931,0.00199139,-0.0149685,-0.0203143,-0.0232812,-0.0127716,0.0183539,0.0218777,0.027229,-0.00108796,0.0110665,0
time,0.0184748,0.0312494,-0.0162153,0.0107544,-0.131556,0.0266463,0.0483817,-0.0321974,-0.0421056,0.0477877,0.00184223,-0.0166111,0.0146091,-0.00195711,-0.00907808,0.0116897,0.0319461,-0.00185213,-0.00362754,0.00312007,0.0133219,-0.006987,-0.00726749,0.00141291,0.00205187,0.00689917,0.0642663,0.000191237,-0.0187792,-0.0101759,0.000111105,-0.00661637,-0.0201344,-0.020004,0.0332493,-0.000994805,-0.0235494,-0.0340167,0.00770047,0.0378883,0
time,0.0243449,0.0206805,0.00552494,-0.117808,-0.0260471,0.0398343,-0.112442,0.110151,0.15326,0.0182139,0.00761715,-0.0123779,0.0261939,0.0304437,0.00114458,0.0132373,0.0319188,-0.00812963,-0.00520668,-0.000451483,0.00474388,0.00615706,0.0041628,-0.00126812,0.00536033,-0.0193428,0.00385793,-0.00351541,0.000437635,-0.00575111,0.000483372,0.00624093,-0.0130522,-0.0229414,-0.0023656,0.0265034,-0.00488072,-0.025176,-0.022072,-0.0152399,0
time,0.0529678,-0.051625,0.0453652,-0.271232,-0.119832,-0.0747718,-0.18082,0.0378884,0.0919144,0.0533021,-0.00519695,0.0146987,0.0322789,-0.0315269,-0.00987126,-0.0367505,0.00237473,0.0170644,0.00107379,0.00211576,0.0277129,0.0101581,0.00793912,-0.00262778,-0.0136671,-0.0249652,0.0250259,0.021437,-0.0146638,0.00762049,-0.0067809,-0.0440242,-0.0152412,-0.0165424,0.0370204,-0.0473172,0.00524927,-0.0183682,0.00673352,-0.00192136,0
time,0.000453109,0.0243254,0.061992,-0.0589296,0.0113837,0.0441095,0.0368209,-0.117989,-0.161424,-0.00716511,0.0131243,-0.00221908,0.017072,-0.0126818,-0.00404749,-0.0130235,-0.0065516,-0.00631602,-0.00687976,-0.00132535,-0.00690537,-0.000734836,-0.00768846,-0.000848299,-0.0155219,0.00441869,0.00864135,-0.0107615,0.00582454,-0.0110863,0.0204949,-0.0170538,0.00737609,0.00865673,0.00819792,0.0404525,0.054023,0.0474264,0.000412781,-0.0171581,0
time,-0.0285754,0.0360438,-0.0422534,0.0705004,-0.117842,-0.0159401,0.0525259,0.117169,-0.545,0.0254802,0.00406294,0.0300667,0.0265708,0.0183509,-0.0121977,-0.0131077,0.0435226,0.0117065,-0.024355,-0.00461057,-0.0060604,-0.00113528,-0.00143101,-0.00694726,0.0141129,-0.0109677,0.0548028,-0.0268151,-0.0268602,-0.0139433,-0.00851277,-0.0318729,-0.0281262,-0.0262947,-0.0517566,0.032479,-0.0390074,-0.0317798,-0.0085464,-0.00608635,0
