historical P&L of the portfolio,0
path1,-64990,0
path2,-17910.3,0
path3,-8534.35,0
path4,-8488.2,0
path5,-7798.01,0
path6,-5846.43,0
path7,-5802.23,0
path8,-5395.7,0
path9,-5329.25,0
path10,-5316.75,0
path11,-5228.67,0
path12,-5110.42,0
path13,-4803.5,0
path14,-4688.83,0
path15,-4469.21,0
path16,-4459.82,0
path17,-4376.67,0
path18,-4329.7,0
path19,-4151.3,0
path20,-4125.84,0
path21,-4025.81,0
path22,-3960.72,0
path23,-3846.94,0
path24,-3716.61,0
path25,-3603.22,0
path26,-3445.54,0
path27,-3444.49,0
path28,-3402.91,0
path29,-3278.69,0
path30,-3277.96,0
path31,-3250.22,0
path32,-3177.09,0
path33,-3118.06,0
path34,-3084.97,0
path35,-3000.49,0
path36,-3000.3,0
path37,-2969.38,0
path38,-2937.19,0
path39,-2935.24,0
path40,-2933.29,0
path41,-2921.54,0
path42,-2917.32,0
path43,-2814.27,0
path44,-2772.42,0
path45,-2706.07,0
path46,-2569.25,0
path47,-2521.34,0
path48,-2512.76,0
path49,-2499.62,0
path50,-2499.01,0
path51,-2480.45,0
path52,-2434.31,0
path53,-2382.86,0
path54,-2371.99,0
path55,-2339.45,0
path56,-2329.7,0
path57,-2264.26,0
path58,-2106.19,0
path59,-2067.32,0
path60,-2055.1,0
path61,-2029.81,0
path62,-2012.3,0
path63,-1978.3,0
path64,-1915.22,0
path65,-1869.39,0
path66,-1866.84,0
path67,-1815.43,0
path68,-1776.43,0
path69,-1754.2,0
path70,-1753.31,0
path71,-1719.31,0
path72,-1702.48,0
path73,-1664.15,0
path74,-1658.79,0
path75,-1609.41,0
path76,-1577.62,0
path77,-1511.36,0
path78,-1504.58,0
path79,-1458.03,0
path80,-1324.62,0
path81,-1259.14,0
path82,-1247.67,0
path83,-1213.94,0
path84,-1172.93,0
path85,-1169.19,0
path86,-1132.21,0
path87,-1127.09,0
path88,-1116.46,0
path89,-1104.09,0
path90,-1064.54,0
path91,-1058.24,0
path92,-1046.19,0
path93,-1039.09,0
path94,-1001.63,0
path95,-979.707,0
path96,-952.981,0
path97,-933.945,0
path98,-913.905,0
path99,-767.549,0
path100,-765.634,0
path101,-760.711,0
path102,-744.994,0
path103,-721.528,0
path104,-710.106,0
path105,-694.221,0
path106,-646.036,0
path107,-616.175,0
path108,-594.841,0
path109,-581.622,0
path110,-506.692,0
path111,-502.188,0
path112,-457.306,0
path113,-452.303,0
path114,-449.912,0
path115,-414.741,0
path116,-414.056,0
path117,-410.229,0
path118,-397.843,0
path119,-386.901,0
path120,-386.617,0
path121,-323.591,0
path122,-307.9,0
path123,-300.669,0
path124,-275.91,0
path125,-240.048,0
path126,-220.898,0
path127,-204.345,0
path128,-199.453,0
path129,-173.396,0
path130,-159.649,0
path131,-157.887,0
path132,-108.258,0
path133,-99.1417,0
path134,-69.6996,0
path135,-49.0194,0
path136,-23.9661,0
path137,-6.6928,0
path138,6.41697,0
path139,7.59863,0
path140,24.3462,0
path141,73.7667,0
path142,177.288,0
path143,240.383,0
path144,257.686,0
path145,345.174,0
path146,385.708,0
path147,402.705,0
path148,407.014,0
path149,464.771,0
path150,473.942,0
path151,513.984,0
path152,532.844,0
path153,560.169,0
path154,600.34,0
path155,610.074,0
path156,610.08,0
path157,615.483,0
path158,691.005,0
path159,692.25,0
path160,694.682,0
path161,707.456,0
path162,771.857,0
path163,800.75,0
path164,810.679,0
path165,827.666,0
path166,837.576,0
path167,879.923,0
path168,893.384,0
path169,924.521,0
path170,955.201,0
path171,974.948,0
path172,1009.04,0
path173,1022.95,0
path174,1068.42,0
path175,1130.74,0
path176,1215.48,0
path177,1275.51,0
path178,1292.4,0
path179,1297,0
path180,1341.65,0
path181,1397.66,0
path182,1429.57,0
path183,1436.71,0
path184,1436.74,0
path185,1445.78,0
path186,1446.59,0
path187,1554.44,0
path188,1585.09,0
path189,1654.33,0
path190,1675.4,0
path191,1685.3,0
path192,1689.01,0
path193,1691.76,0
path194,1737.08,0
path195,1781.08,0
path196,1858.98,0
path197,1946.79,0
path198,2035.04,0
path199,2098.63,0
path200,2109.23,0
path201,2114.8,0
path202,2162.99,0
path203,2315.37,0
path204,2338.1,0
path205,2371.55,0
path206,2430.84,0
path207,2530.33,0
path208,2582.5,0
path209,2590.21,0
path210,2620.05,0
path211,2634.56,0
path212,2655.37,0
path213,2868.2,0
path214,2892.69,0
path215,2968.22,0
path216,2971.42,0
path217,3029.25,0
path218,3178.08,0
path219,3203.08,0
path220,3205.74,0
path221,3221.57,0
path222,3423.93,0
path223,3479.86,0
path224,3528.22,0
path225,3545.45,0
path226,3686.8,0
path227,3778.08,0
path228,3837.77,0
path229,3896.28,0
path230,3903.02,0
path231,3905.55,0
path232,3988.5,0
path233,4011.64,0
path234,4040.59,0
path235,4073.79,0
path236,4100.69,0
path237,4147.42,0
path238,4198.93,0
path239,4269.88,0
path240,4374.24,0
path241,4528.98,0
path242,4538.22,0
path243,4589.44,0
path244,4668.22,0
path245,4735.58,0
path246,4889.77,0
path247,4892.09,0
path248,4904.62,0
path249,4937.7,0
path250,5262.31,0
path251,5277.68,0
path252,5787.61,0
path253,5879.98,0
path254,6030.11,0
path255,6234.98,0
path256,6684.65,0
path257,6957.8,0
path258,8009.2,0
path259,8055.58,0
path260,9373.59,0
path261,10395.3,0
path262,18310.4,0
path263,25446,0
path264,47692.1,0
